,city,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,country
97,Batticaloa,7.71,81.69,81.16,70,100,5.61,LK
98,Phan Thiet,10.93,108.1,77.76,88,100,13.42,VN
99,Bluff,-46.6,168.33,51.75,90,87,13.18,NZ
100,Saint-Philippe,-21.36,55.77,69.8,77,90,19.46,RE
101,Carnarvon,-24.87,113.63,60.8,87,0,12.75,AU
102,Nikolskoye,59.7,30.79,55.0,76,20,2.24,RU
103,Najrān,17.49,44.13,86.0,48,40,9.17,SA
104,Mergen,49.18,125.22,67.03,92,100,5.37,CN
105,Port Keats,-14.25,129.55,59.25,33,0,7.9,AU
106,Yellowknife,62.46,-114.35,80.01,64,75,16.11,CA
107,Half Moon Bay,37.46,-122.43,77.0,82,75,13.87,US
108,Hobart,-42.88,147.33,50.0,57,20,11.41,AU
109,Clyde River,70.47,-68.59,48.2,81,75,5.82,CA
110,Sedlčany,49.66,14.43,68.0,60,53,4.05,CZ
111,Lavrentiya,65.58,-171.0,45.75,67,95,9.57,RU
112,Cabedelo,-6.98,-34.83,77.0,88,75,10.29,BR
113,Grindavik,63.84,-22.43,50.0,100,90,9.17,IS
114,Saint Anthony,45.02,-93.22,81.0,51,90,8.05,US
115,Matagami,49.75,-77.63,78.8,50,75,4.29,CA
116,Port Lincoln,-34.73,135.87,55.08,80,90,5.44,AU
117,Soyo,-6.13,12.37,72.18,83,74,10.58,AO
118,Novy Urengoy,66.08,76.63,58.06,81,100,14.47,RU
119,Mokhsogollokh,61.47,128.92,58.96,73,0,1.21,RU
120,Peace River,56.25,-117.29,82.4,51,75,11.41,CA
121,Hilo,19.73,-155.09,80.6,65,90,3.36,US
122,Port Alfred,-33.59,26.89,59.54,74,0,10.4,ZA
123,Linares,-35.85,-71.6,52.07,94,100,6.24,CL
124,Zhaodong,46.08,125.98,71.6,94,4,4.47,CN
125,Makokou,0.57,12.86,73.42,77,28,1.59,GA
126,Te Anau,-45.42,167.72,50.38,91,99,1.28,NZ
127,Kupino,54.37,77.3,66.29,66,0,7.18,RU
128,Severo-Kuril'sk,50.68,156.12,54.63,82,100,11.43,RU
129,Itoman,26.12,127.67,82.4,88,75,8.05,JP
130,Cabo San Lucas,22.89,-109.91,89.01,55,5,9.17,MX
131,Ahipara,-35.17,173.17,55.96,89,100,13.82,NZ
132,Socorro,31.65,-106.3,96.8,24,20,3.36,US
133,Khatanga,71.97,102.5,62.69,75,100,7.94,RU
134,Balkanabat,39.51,54.37,84.43,20,0,7.61,TM
135,Bakersfield,35.37,-119.02,98.01,15,1,13.87,US
136,Jiexiu,37.02,111.91,73.35,69,0,5.57,CN
137,Pemba,-12.97,40.52,73.26,79,2,16.6,MZ
138,Dikson,73.51,80.55,47.84,100,83,18.37,RU
139,Jamestown,42.1,-79.24,73.99,10,100,3.6,US
140,San Cristobal,7.77,-72.22,96.8,34,20,18.34,VE
141,Cologne,50.93,6.95,75.2,73,75,12.75,DE
142,Hasaki,35.73,140.83,72.0,94,75,8.05,JP
143,College,64.86,-147.8,75.0,60,75,3.36,US
144,St. George's,12.06,-61.75,86.0,74,20,11.41,GD
145,Semenyih,2.95,101.84,79.0,94,20,4.7,MY
146,Okha,53.57,142.95,52.56,95,100,22.82,RU
147,Geraldton,-28.77,114.6,44.6,93,52,6.93,AU
148,Piraju,-23.19,-49.38,66.42,54,0,5.59,BR
149,Bethel,41.37,-73.41,87.8,38,1,2.82,US
150,El Sauce,12.89,-86.54,84.2,54,40,4.7,NI
151,Abéché,13.83,20.83,77.38,77,100,6.11,TD
152,Creel,27.75,-107.63,75.31,38,50,13.89,MX
153,Encantado,-29.24,-51.87,70.0,79,0,1.39,BR
154,Upernavik,72.79,-56.15,42.76,66,19,13.71,GL
155,Bereda,43.27,-7.54,63.0,90,55,11.01,ES
156,Hihyā,30.67,31.59,86.0,48,0,9.17,EG
157,Sakaiminato,35.55,133.23,75.2,94,75,3.36,JP
158,Monrovia,6.3,-10.8,75.2,94,75,12.28,LR
159,Aklavik,68.22,-135.01,62.6,77,75,17.22,CA
160,Moose Factory,51.26,-80.61,60.8,82,75,11.41,CA
161,Qasigiannguit,68.82,-51.19,46.4,87,75,4.7,GL
162,Bow Island,49.87,-111.37,89.6,31,90,12.75,CA
163,Ribeira Grande,38.52,-28.7,73.4,73,40,5.82,PT
164,São João da Barra,-21.64,-41.05,73.4,64,40,9.17,BR
165,Tiksi,71.69,128.87,43.99,80,0,2.62,RU
166,Mayskiy,47.69,40.1,64.4,72,39,4.47,RU
167,Homer,59.64,-151.55,55.4,93,90,5.82,US
168,Yar-Sale,66.83,70.83,56.01,92,98,9.35,RU
169,Hamilton,39.18,-84.53,86.0,66,20,12.75,US
170,Tianpeng,30.99,103.94,81.0,99,100,1.5,CN
171,Kruisfontein,-34.0,24.73,51.01,93,0,1.01,ZA
172,La Santisima Trinidad,-14.83,-64.9,87.8,43,1,4.7,BO
173,Iqaluit,63.75,-68.51,62.6,59,75,16.11,CA
