,city,lat,max temp,Humidity,Cloudiness,Wind Speed,country,temp,Lat,Lng
495,zabaykalsk,49.63,68.61,73,40,2.57,RU,68.61,49.655976,117.3248846
496,amapa,1.0,77.32,79,89,1.74,BR,77.32,0.9019925,-52.0029565
497,tongchuan,35.08,75.94,73,90,1.57,CN,75.94,34.897887,108.945019
498,bandarbeyla,9.49,78.84,74,2,30.65,SO,78.84,9.498579999999999,50.8105261
499,aswan,24.09,98.76,18,16,15.28,EG,98.76,24.088938,32.8998293
500,redcar,54.62,66.0,86,96,7.0,GB,66.0,54.5974636,-1.0779515
501,turukhansk,65.82,55.49,94,95,15.77,RU,55.49,65.79585999999999,87.962418
502,haapiti,-17.57,84.2,70,40,14.99,PF,84.2,-17.561682,-149.871232
503,dunedin,-45.87,55.99,70,100,3.0,NZ,55.99,28.0197404,-82.7717684
504,beni,0.5,63.73,91,81,0.89,CD,63.73,0.4990124,29.4527538
506,ust-barguzin,53.45,58.1,96,100,3.06,RU,58.1,53.4123591,109.0339077
507,rexburg,43.83,95.0,17,1,6.93,US,95.0,43.8231096,-111.7924237
508,buncrana,55.13,54.99,92,77,6.51,IE,54.99,55.1365797,-7.4560128
509,kaeo,-35.1,57.99,3,100,14.0,NZ,57.99,-35.1003036,173.7803244
510,natitingou,10.3,69.46,97,44,3.22,BJ,69.46,10.2963526,1.3806902
511,haines junction,60.75,79.07,31,84,3.24,CA,79.07,60.7544541,-137.5117819
512,mantua,45.17,78.01,81,24,3.06,IT,78.01,45.1564168,10.7913751
513,khilok,51.37,60.31,91,21,0.98,RU,60.31,51.3634073,110.459037
514,yarada,17.65,84.33,79,84,8.55,IN,84.33,17.6630996,83.27802779999999
515,ekibastuz,51.67,65.08,76,12,4.43,KZ,65.08,51.725198,75.3150685
516,nelson bay,-32.72,51.01,100,14,6.93,AU,51.01,-32.715,152.151111
517,pervomaysk,48.04,59.4,85,42,7.05,UA,59.4,48.04512510000001,30.8884315
518,xinzhou,38.41,73.4,67,85,1.34,CN,73.4,38.416663,112.734174
519,ziro,27.63,57.74,100,95,0.72,IN,57.74,37.7912629,-122.3920152
520,andapa,-14.65,60.78,90,29,2.77,MG,60.78,-14.658228,49.6452092
521,walvis bay,-22.96,73.0,19,0,12.75,,73.0,-22.9584081,14.5057511
522,makakilo city,21.35,86.0,51,90,11.41,US,86.0,21.3469444,-158.0858333
523,kawalu,-7.38,67.03,91,74,1.43,ID,67.03,-7.410349200000001,108.2021667
524,puerto montt,-41.47,53.6,54,100,19.46,CL,53.6,-41.468917,-72.94113639999999
525,sabang,5.89,83.59,72,100,19.28,ID,83.59,5.8926053,95.3237608
526,goderich,43.75,77.0,77,25,10.98,CA,77.0,43.7428345,-81.7138942
527,manzanillo,20.34,84.96,75,71,1.12,CU,84.96,19.1138094,-104.3384616
528,aripuana,-9.17,80.28,36,13,1.48,BR,80.28,-10.2980023,-59.6564494
529,savannah bight,16.45,85.05,77,47,10.45,HN,85.05,16.4851482,-85.85630069999999
530,desaguadero,-16.57,45.88,54,0,6.76,PE,45.88,-16.5631251,-69.040395
531,vana-vigala,58.78,55.99,96,11,3.0,EE,55.99,58.7958492,24.2425596
532,kharp,66.8,52.92,69,94,5.17,RU,52.92,66.81513129999999,65.80131229999999
533,awbari,26.59,87.31,21,0,10.92,LY,87.31,26.5810176,12.7939759
534,farmington,36.73,98.6,9,1,12.75,US,98.6,36.0420248,-94.2471515
535,marawi,8.0,73.99,96,100,4.0,PH,73.99,8.0106213,124.297718
536,aklavik,68.22,69.8,60,5,8.05,CA,69.8,68.219916,-135.0077881
537,bad aussee,47.61,64.99,99,0,3.36,AT,64.99,47.6092768,13.782626
539,muscat,23.61,86.0,94,46,8.05,OM,86.0,23.5880307,58.3828717
540,canaries,28.0,73.4,78,40,20.8,ES,73.4,28.2915637,-16.6291304
541,tanout,14.97,91.09,37,78,10.25,NE,91.09,14.972892,8.8831506
542,xinqing,48.23,71.83,85,80,7.4,CN,71.83,33.0000301,-96.6624779
543,corozal,9.32,80.4,89,89,8.84,CO,80.4,18.4030802,-88.3967536
544,kusa,55.34,58.3,93,90,4.45,RU,58.3,39.7218614,-104.9818933
545,sao jose da coroa grande,-8.9,74.97,84,47,11.21,BR,74.97,-8.8943011,-35.1502449
546,road town,18.42,84.2,74,40,11.41,VG,84.2,18.4286115,-64.6184657
547,teyateyaneng,-29.15,40.68,56,0,1.32,LS,40.68,-29.13958019999999,27.7490656
548,touros,-5.2,75.2,88,20,4.7,BR,75.2,-5.1961669,-35.4635381
549,teguldet,57.31,53.58,83,100,3.71,RU,53.58,57.304527,88.17174899999999
550,vanavara,60.34,59.81,87,96,6.69,RU,59.81,60.3394104,102.2965426
551,paraguacu paulista,-22.41,65.48,71,0,11.12,BR,65.48,-22.4139713,-50.5759891
552,havoysund,71.0,48.2,93,44,10.63,NO,48.2,70.9963394,24.6621398
553,adrar,20.5,97.59,29,15,8.79,MR,97.59,28.0174403,-0.2642497
554,lubao,14.92,80.01,94,90,2.24,PH,80.01,14.9021333,120.5509358
555,innisfail,-17.53,57.99,93,58,5.99,AU,57.99,52.02739219999999,-113.9501957
556,lakatoro,-16.1,78.8,94,75,2.24,VU,78.8,-16.1001798,167.4164063
557,oskemen,49.96,51.8,93,40,2.24,KZ,51.8,49.97492949999999,82.6017244
558,savannakhet,16.57,77.02,92,100,11.14,LA,77.02,16.5720526,104.7686868
559,ukiah,39.15,91.4,17,1,6.93,US,91.4,39.1501709,-123.2077831
